TreeGross Exchange Data: by BWINPro;;;;;;;;;;;;;;;;
1500421 / 16a1;;;;;;;;;;;;;;;;
2011;Jahr;;;;;;;;;;;;;;;
0.600;Flaechengroesse ha;;;;;;;;;;;;;;;
4;Anzahl Eckpunkte;;;;;;;;;;;;;;;
No;x;y;z;;;;;;;;;;;;;
ECK1;0;0;0;;;;;;;;;;;;;
ECK2;0;77.46;0;;;;;;;;;;;;;
ECK3;77.46;77.46;0;;;;;;;;;;;;;
ECK4;77.46;0;0;;;;;;;;;;;;;
Code;N;No;Age;DBH;Heigt;Site ind.;Crown Base;Crown width;alive;Removal Code;x-Coord;y-Coord;z-Coord;crpt tree;Temp Crop tree;Habitat tree
711;1;1;26;8;8.0;-9;6;0;-1;0;10;10;0;0;0;0
711;1;2;27;10;11.0;-9;6.5;4.2;-1;0;20;10;0;1;0;0
410;1;3;28;8;8.0;-9;0;0;-1;0;30;10;0;0;1;0
410;1;4;29;10;8.0;-9;0;0;-1;0;40;10;0;0;0;1
410;1;5;25;12;8;-9;0;0;-1;0;0;0;0;0;0;0
410;1;6;25;8;8.0;-9;0;0;2008;0;0;0;0;0;0;0
410;1;7;25;10;13.0;-9;0;0;2008;0;0;0;0;0;0;0
410;1;8;25;12;8.0;-9;0;0;2008;0;0;0;0;0;0;0
410;1;9;25;14;14.0;-9;0;0;2008;0;0;0;0;0;0;0
410;1;10;25;16;8.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;11;113;22;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;12;113;24;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;13;113;26;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;14;113;28;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;15;113;30;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;16;113;32;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;17;113;34;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;18;113;36;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;19;113;38;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;20;113;40;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;21;113;42;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;22;113;44;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;23;113;46;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;24;113;48;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;25;113;54;23.0;-9;0;0;-1;0;0;0;0;0;0;0
711;1;26;113;26;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;27;113;28;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;28;113;30;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;29;113;32;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;30;113;34;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;31;113;36;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;32;113;38;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;33;113;40;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;34;113;42;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;35;113;44;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;36;113;46;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;37;113;50;23.0;-9;0;0;2008;0;0;0;0;0;0;0
711;1;38;113;54;23.0;-9;0;0;2008;0;0;0;0;0;0;0

