#"BArt";"dGz100";"Alter";"N";"Hm";"Ho";"G";"Dg";"Form";"VDerb";"VDerbAus";"lGzDerb";"VVorNutz";"GWLDerb";"dGzDerb";"Bemerkungen"
1;6.00;25.00;6931.00;3.70;0.00;12.10;4.70;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;-1.00;
1;6.00;30.00;5496.00;4.80;0.00;16.40;6.20;8.00;6.00;-1.00;-1.00;-1.00;6.00;0.20;
1;6.00;35.00;4485.00;6.10;7.60;19.90;7.50;28.00;34.00;-1.00;5.60;-1.00;34.00;1.00;
1;6.00;40.00;3772.00;7.60;9.50;22.90;8.80;40.00;70.00;-1.00;7.10;-1.00;70.00;1.70;
1;6.00;45.00;3231.00;9.20;11.40;25.50;10.00;47.00;109.00;3.00;8.50;3.00;112.00;2.50;
1;6.00;50.00;2807.00;10.80;13.20;27.80;11.20;50.00;150.00;7.00;9.60;10.00;160.00;3.20;
1;6.00;55.00;2457.00;12.30;14.90;29.70;12.40;53.00;192.00;10.00;10.40;20.00;212.00;3.90;
1;6.00;60.00;2172.00;13.80;16.40;31.30;13.50;54.00;231.00;13.00;10.40;33.00;264.00;4.40;
1;6.00;65.00;1927.00;15.10;17.70;32.60;14.70;54.00;266.00;15.00;9.90;48.00;314.00;4.80;
1;6.00;70.00;1720.00;16.30;18.90;33.60;15.80;54.00;295.00;17.00;9.20;65.00;360.00;5.10;
1;6.00;75.00;1540.00;17.50;20.10;34.40;16.90;53.00;320.00;19.00;8.80;84.00;404.00;5.40;
1;6.00;80.00;1382.00;18.60;21.10;34.90;17.90;53.00;341.00;21.00;8.40;105.00;446.00;5.60;
1;6.00;85.00;1245.00;19.60;22.10;35.20;19.00;52.00;359.00;22.00;8.00;127.00;486.00;5.70;
1;6.00;90.00;1124.00;20.50;22.90;35.30;20.00;52.00;374.00;24.00;7.80;151.00;525.00;5.80;
1;6.00;95.00;1017.00;21.40;23.70;35.20;21.00;51.00;387.00;25.00;7.60;176.00;563.00;5.90;
1;6.00;100.00;922.00;22.20;24.50;35.00;22.00;51.00;397.00;27.00;7.50;203.00;600.00;6.00;
1;6.00;105.00;841.00;23.10;25.30;34.60;22.90;51.00;406.00;28.00;7.30;231.00;637.00;6.10;
1;6.00;110.00;768.00;23.80;25.90;34.20;23.80;51.00;413.00;29.00;7.20;260.00;673.00;6.10;
1;6.00;115.00;708.00;24.60;26.60;33.80;24.70;50.00;419.00;30.00;7.20;290.00;709.00;6.20;
1;6.00;120.00;656.00;25.30;27.20;33.40;25.50;50.00;423.00;31.00;7.10;321.00;744.00;6.20;
1;6.00;125.00;612.00;26.00;27.80;33.10;26.20;50.00;427.00;31.00;7.00;352.00;779.00;6.20;
1;6.00;130.00;575.00;26.70;28.50;32.70;26.90;49.00;430.00;31.00;6.90;383.00;813.00;6.30;
1;7.00;25.00;6156.00;4.60;0.00;15.50;5.70;4.00;3.00;-1.00;-1.00;-1.00;3.00;0.10;
1;7.00;30.00;4990.00;5.90;7.40;20.20;7.20;24.00;29.00;-1.00;5.20;-1.00;29.00;1.00;
1;7.00;35.00;4139.00;7.40;9.30;23.80;8.60;35.00;61.00;3.00;7.00;3.00;64.00;1.80;
1;7.00;40.00;3469.00;9.10;11.30;26.60;9.90;42.00;100.00;6.00;9.00;9.00;109.00;2.70;
1;7.00;45.00;2939.00;10.80;13.20;28.90;11.20;47.00;144.00;8.00;10.50;17.00;161.00;3.60;
1;7.00;50.00;2524.00;12.50;15.10;30.80;12.50;50.00;193.00;11.00;11.90;28.00;221.00;4.40;
1;7.00;55.00;2190.00;14.20;16.80;32.50;13.70;52.00;239.00;13.00;11.70;41.00;280.00;5.10;
1;7.00;60.00;1920.00;15.70;18.30;33.90;15.00;53.00;280.00;15.00;11.40;56.00;336.00;5.60;
1;7.00;65.00;1692.00;17.10;19.70;35.10;16.30;53.00;317.00;16.00;10.50;72.00;389.00;6.00;
1;7.00;70.00;1502.00;18.40;20.90;36.10;17.50;53.00;348.00;18.00;9.90;90.00;438.00;6.30;
1;7.00;75.00;1340.00;19.50;22.00;37.00;18.70;52.00;376.00;20.00;9.50;110.00;486.00;6.50;
1;7.00;80.00;1198.00;20.60;23.00;37.60;20.00;52.00;399.00;22.00;9.10;132.00;531.00;6.60;
1;7.00;85.00;1072.00;21.70;24.00;38.00;21.20;51.00;420.00;23.00;8.80;155.00;575.00;6.80;
1;7.00;90.00;961.00;22.60;24.80;38.10;22.50;51.00;437.00;25.00;8.50;180.00;617.00;6.90;
