TreeGrOSS Exchange Data : by BWINPro
95650200 6H
1993;Jahr
0.19;Flaechengroesse ha
4;Anzahl Eckpunkte
No;x;y;z;
ECK1 ;60.22;18.29;0.00
ECK2 ;30.89;0.00;0.00
ECK3 ;0.00;40.93;0.00
ECK4 ;34.58;60.20;0.00
Code;N;No;Age;DBH;Height;Site index;Crown Base;Crown width;alive;Removal Code;x-Coord.;y-Coord.;z-Coord.;Crop tree;
211;1;5;41;15.90;12.50;-9.00;4.50;3.73;-1;0;30.92;33.00;0.00;0;
211;1;6;41;9.70;11.90;-9.00;3.70;2.18;-1;0;32.16;33.00;0.00;0;
211;1;7;41;6.50;11.50;-9.00;3.10;1.78;-1;0;32.97;33.00;0.00;0;
211;1;10;41;3.60;6.20;-9.00;2.40;0.88;-1;0;33.44;29.00;0.00;0;
211;1;13;41;6.10;10.30;-9.00;5.10;1.65;-1;0;36.38;27.00;0.00;0;
211;1;19;41;5.00;7.00;-9.00;3.40;2.00;-1;0;39.96;29.00;0.00;0;
211;1;20;41;3.40;7.10;-9.00;5.90;1.08;-1;0;41.63;29.00;0.00;0;
211;1;21;41;4.70;9.30;-9.00;6.10;1.90;-1;0;42.10;28.00;0.00;0;
211;1;22;41;9.80;12.70;-9.00;4.30;3.03;-1;0;42.60;28.00;0.00;0;
211;1;23;41;3.70;7.80;-9.00;4.90;1.15;-1;0;42.85;28.00;0.00;0;
211;1;27;41;8.60;10.80;-9.00;5.00;2.08;-1;0;40.55;32.00;0.00;0;
211;1;28;41;6.90;10.70;-9.00;4.60;2.58;-1;0;37.86;29.00;0.00;0;
211;1;29;41;9.30;11.80;-9.00;4.40;2.85;-1;0;36.89;28.00;0.00;0;
211;1;30;41;4.30;8.10;-9.00;3.80;1.90;-1;0;38.85;29.00;0.00;0;
211;1;31;41;10.00;10.60;-9.00;5.00;2.90;-1;0;36.20;28.00;0.00;0;
211;1;32;41;11.40;12.70;-9.00;3.60;3.28;-1;0;38.09;30.00;0.00;0;
211;1;33;41;13.90;13.00;-9.00;2.90;4.13;-1;0;38.51;31.00;0.00;0;
211;1;34;41;5.40;9.70;-9.00;4.40;1.25;-1;0;37.71;31.00;0.00;0;
211;1;35;41;8.40;11.90;-9.00;5.60;1.80;-1;0;34.28;30.00;0.00;0;
211;1;36;41;8.50;11.50;-9.00;5.00;2.03;-1;0;35.07;32.00;0.00;0;
211;1;37;41;8.70;11.40;-9.00;4.50;2.80;-1;0;35.87;32.00;0.00;0;
211;1;38;41;11.60;13.50;-9.00;6.50;2.60;-1;0;36.08;31.00;0.00;0;
211;1;39;41;6.60;10.50;-9.00;4.60;1.50;-1;0;36.01;32.00;0.00;0;
211;1;40;41;7.70;13.10;-9.00;5.30;1.23;-1;0;36.46;32.00;0.00;0;
211;1;41;41;8.80;11.30;-9.00;5.40;1.60;-1;0;36.32;32.00;0.00;0;
211;1;42;41;6.40;7.50;-9.00;2.60;1.50;-1;0;36.45;32.00;0.00;0;
211;1;43;41;7.00;12.30;-9.00;7.40;1.58;-1;0;36.50;31.00;0.00;0;
211;1;46;41;4.20;8.70;-9.00;5.90;1.35;-1;0;32.76;36.00;0.00;0;
211;1;55;41;12.90;14.40;-9.00;5.80;2.88;-1;0;34.21;38.00;0.00;0;
211;1;56;41;9.50;12.90;-9.00;3.90;2.05;-1;0;36.01;40.00;0.00;0;
211;1;60;41;9.70;11.20;-9.00;5.00;2.18;-1;0;38.82;37.00;0.00;0;
211;1;61;41;13.00;13.90;-9.00;5.80;2.50;-1;0;38.82;37.00;0.00;0;
211;1;62;41;4.70;8.70;-9.00;3.40;1.58;-1;0;38.55;36.00;0.00;0;
211;1;64;41;7.10;11.00;-9.00;5.20;2.03;-1;0;41.29;35.00;0.00;0;
211;1;65;41;5.40;7.50;-9.00;4.20;0.85;-1;0;39.24;31.00;0.00;0;
211;1;66;41;7.00;11.90;-9.00;5.20;1.70;-1;0;42.08;35.00;0.00;0;
211;1;67;41;10.20;12.60;-9.00;5.10;2.20;-1;0;42.24;35.00;0.00;0;
211;1;74;41;3.70;7.50;-9.00;5.10;1.50;-1;0;48.83;30.00;0.00;0;
211;1;77;41;5.80;10.40;-9.00;5.80;1.80;-1;0;43.98;34.00;0.00;0;
211;1;78;41;3.20;7.00;-9.00;5.70;1.05;-1;0;43.21;35.00;0.00;0;
211;1;79;41;3.60;9.00;-9.00;7.20;1.05;-1;0;43.28;35.00;0.00;0;
211;1;80;41;8.20;12.30;-9.00;5.40;2.93;-1;0;42.76;36.00;0.00;0;
211;1;81;41;3.90;8.40;-9.00;5.10;1.60;-1;0;44.11;36.00;0.00;0;
211;1;82;41;5.20;9.20;-9.00;4.10;1.45;-1;0;43.89;36.00;0.00;0;
211;1;84;41;3.70;7.60;-9.00;5.70;0.80;-1;0;40.07;38.00;0.00;0;
211;1;87;41;6.00;11.60;-9.00;5.20;1.48;-1;0;40.31;41.00;0.00;0;
211;1;90;41;3.30;7.50;-9.00;4.30;1.38;-1;0;37.52;40.00;0.00;0;
211;1;91;41;6.20;10.50;-9.00;3.70;1.65;-1;0;37.52;40.00;0.00;0;
211;1;94;41;11.40;12.10;-9.00;4.20;3.18;-1;0;41.94;43.00;0.00;0;
211;1;95;41;10.00;13.10;-9.00;5.60;3.15;-1;0;42.06;44.00;0.00;0;
211;1;96;41;8.20;10.40;-9.00;4.30;2.65;-1;0;42.25;44.00;0.00;0;
211;1;97;41;14.10;12.70;-9.00;4.40;4.38;-1;0;43.15;43.00;0.00;0;
211;1;98;41;3.60;7.80;-9.00;5.10;1.23;-1;0;42.44;42.00;0.00;0;
211;1;99;41;8.20;10.70;-9.00;4.30;2.55;-1;0;42.49;42.00;0.00;0;
211;1;100;41;7.20;11.50;-9.00;5.60;2.05;-1;0;44.60;40.00;0.00;0;
211;1;101;41;9.40;13.00;-9.00;7.30;2.85;-1;0;45.30;38.00;0.00;0;
211;1;102;41;5.90;8.10;-9.00;3.40;2.35;-1;0;44.25;38.00;0.00;0;
211;1;103;41;5.40;7.90;-9.00;3.30;2.98;-1;0;45.69;38.00;0.00;0;
211;1;104;41;6.90;9.60;-9.00;4.40;2.15;-1;0;44.12;36.00;0.00;0;
211;1;105;41;10.50;12.60;-9.00;4.90;2.80;-1;0;44.51;37.00;0.00;0;
211;1;106;41;9.80;12.40;-9.00;5.70;2.93;-1;0;45.18;36.00;0.00;0;
211;1;107;41;3.60;9.10;-9.00;4.80;1.33;-1;0;45.63;34.00;0.00;0;
211;1;108;41;5.20;7.70;-9.00;3.30;2.75;-1;0;46.09;35.00;0.00;0;
211;1;109;41;2.80;6.70;-9.00;3.90;1.53;-1;0;46.17;34.00;0.00;0;
211;1;110;41;10.40;12.80;-9.00;6.10;2.68;-1;0;46.62;34.00;0.00;0;
211;1;111;41;3.80;6.90;-9.00;4.50;1.03;-1;0;48.19;33.00;0.00;0;
211;1;112;41;9.00;9.20;-9.00;3.10;3.10;-1;0;51.78;31.00;0.00;0;
211;1;113;41;6.20;11.50;-9.00;5.60;2.18;-1;0;49.23;33.00;0.00;0;
211;1;114;41;8.00;12.40;-9.00;4.70;2.38;-1;0;49.22;34.00;0.00;0;
211;1;115;41;8.50;12.30;-9.00;6.00;2.40;-1;0;49.62;35.00;0.00;0;
211;1;116;41;12.10;12.50;-9.00;4.60;3.73;-1;0;48.31;34.00;0.00;0;
211;1;117;41;11.40;14.10;-9.00;6.90;2.70;-1;0;48.43;35.00;0.00;0;
211;1;118;41;4.70;7.70;-9.00;4.20;2.10;-1;0;48.93;39.00;0.00;0;
211;1;119;41;4.90;8.30;-9.00;4.30;2.30;-1;0;47.54;39.00;0.00;0;
211;1;120;41;4.50;7.50;-9.00;4.30;2.33;-1;0;46.65;40.00;0.00;0;
211;1;121;41;8.60;12.20;-9.00;5.70;2.45;-1;0;44.82;43.00;0.00;0;
211;1;122;41;6.80;8.50;-9.00;4.90;2.23;-1;0;44.53;44.00;0.00;0;
211;1;123;41;12.30;12.30;-9.00;5.60;2.55;-1;0;46.77;41.00;0.00;0;
211;1;125;41;4.50;8.50;-9.00;4.40;1.65;-1;0;40.78;22.00;0.00;0;
211;1;126;41;8.60;11.14;-9.00;5.05;2.59;-1;0;51.83;29.00;0.00;0;
211;1;127;41;3.60;8.49;-9.00;4.16;0.91;-1;0;51.31;29.00;0.00;0;
211;1;128;41;8.00;11.30;-9.00;5.30;2.42;-1;0;39.63;46.00;0.00;0;
211;1;129;41;7.80;10.80;-9.00;4.50;2.36;-1;0;40.12;47.00;0.00;0;
211;1;130;41;7.60;11.60;-9.00;5.46;2.30;-1;0;50.64;27.00;0.00;0;
211;1;131;41;6.30;9.52;-9.00;4.33;1.88;-1;0;50.89;26.00;0.00;0;
211;1;132;41;5.50;8.15;-9.00;3.58;1.60;-1;0;51.48;27.00;0.00;0;
211;1;133;41;6.00;10.11;-9.00;4.75;1.78;-1;0;52.62;26.00;0.00;0;
211;1;134;41;5.20;11.73;-9.00;5.99;1.50;-1;0;53.12;26.00;0.00;0;
211;1;135;41;15.50;13.65;-9.00;5.96;4.13;-1;0;55.07;25.00;0.00;0;
211;1;136;41;9.80;10.08;-9.00;4.33;2.92;-1;0;55.31;24.00;0.00;0;
211;1;137;41;4.80;9.31;-9.00;4.44;1.35;-1;0;54.20;25.00;0.00;0;
211;1;138;41;12.40;14.60;-9.00;6.73;3.53;-1;0;51.91;24.00;0.00;0;
211;1;139;41;13.00;14.92;-9.00;6.86;3.65;-1;0;51.88;24.00;0.00;0;
211;1;140;41;7.90;8.69;-9.00;3.67;2.39;-1;0;54.12;21.00;0.00;0;
211;1;141;41;11.00;11.74;-9.00;5.19;3.21;-1;0;57.68;20.00;0.00;0;
211;1;142;41;7.00;10.97;-9.00;5.15;2.11;-1;0;58.36;20.00;0.00;0;
211;1;143;41;13.80;12.03;-9.00;5.17;3.81;-1;0;59.29;19.00;0.00;0;
211;1;144;41;6.30;10.45;-9.00;4.92;1.88;-1;0;58.11;17.00;0.00;0;
211;1;145;41;4.90;6.43;-9.00;2.59;1.39;-1;0;57.51;17.00;0.00;0;
211;1;146;41;9.60;14.58;-9.00;7.04;2.86;-1;0;56.46;17.00;0.00;0;
211;1;147;41;13.10;13.51;-9.00;6.05;3.67;-1;0;56.93;16.00;0.00;0;
211;1;148;41;4.80;8.81;-9.00;4.11;1.35;-1;0;54.83;18.00;0.00;0;
